step,tag,value,run
31200,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31250,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31300,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31350,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31400,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31450,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31500,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31550,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31600,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31650,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31700,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31750,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31800,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31850,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31900,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
31950,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32000,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32032,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32082,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32132,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32182,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32232,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32282,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32332,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32382,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32432,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32482,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32532,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32582,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32632,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32682,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32732,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
32782,Grad_Norm_Pre/FPN,0.0,ver_2-10_Phase-2
